po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location,rainy_season,rainfall_index,holiday_period,fuel_price_ngn,usd_ngn_rate,port_congestion_index,disruption_event,disruption_severity,supplier_name_supplier,financial_health_score,capacity_utilization_pct,employee_turnover_pct,quality_defect_rate,inventory_days,payment_default_risk,delivery_delay_days,is_late_delivery,composite_risk_score,risk_category
PO100559,2024-09-09,SUP1019,Equipment Supplier 1 (NIG),MAT2046,Equipment Item 8,Equipment,293,495222.82,145100287.11,,NGN,2024-09-29,2024-10-01,Delivered,Paid,Sarah Ahmed,Lagos,1,0.57,0,222.87,1099.2,62.0,None,0,Equipment Supplier 1 (NIG),76,80.8,6.3,2.61,25,18.3,2.0,1,29.1,Low Risk
PO100560,2024-03-11,SUP1004,Raw Materials Supplier 5 (NIG),MAT2018,Raw Materials Item 19,Raw Materials,221,27495.68,6076545.34,,NGN,2024-05-26,2024-06-07,Delivered,Pending,Chidi Eze,Lagos,0,0.25,0,189.46,886.06,39.0,None,0,Raw Materials Supplier 5 (NIG),81,86.5,3.8,2.65,83,10.2,12.0,1,21.2,Low Risk
PO100561,2024-08-18,SUP1006,Raw Materials Supplier 7 (NIG),MAT2017,Raw Materials Item 18,Raw Materials,328,442620.6,145179556.84,,NGN,2024-11-03,2024-11-26,Delivered,Paid,Sarah Ahmed,Kano,1,0.6,0,223.15,983.11,67.0,None,0,Raw Materials Supplier 7 (NIG),59,64.6,3.1,4.79,21,21.0,23.0,1,36.7,Medium Risk
PO100562,2024-04-16,SUP1004,Raw Materials Supplier 5 (NIG),MAT2017,Raw Materials Item 18,Raw Materials,402,352187.41,141579338.18,,NGN,2024-07-02,2024-07-08,Delivered,Overdue,Chidi Eze,Ibadan,1,0.64,0,194.83,983.88,61.0,None,0,Raw Materials Supplier 5 (NIG),84,77.2,11.8,2.75,70,26.0,6.0,1,31.5,Medium Risk
PO100563,2025-01-09,SUP1026,Equipment Supplier 8 (NIG),MAT2050,Equipment Item 12,Equipment,847,235057.72,199093887.74,,NGN,2025-02-17,2025-03-18,Delivered,Overdue,Chidi Eze,Lagos,0,0.28,1,286.95,1256.51,44.0,Strike,7,Equipment Supplier 8 (NIG),73,66.6,9.0,6.42,56,14.9,29.0,1,46.5,Medium Risk
PO100564,2024-05-30,SUP1039,Services Supplier 12 (IND),MAT2057,Services Item 4,Services,109,222114.45,24210475.17,17965.86,USD,2024-06-11,2024-07-05,Delivered,Paid,John Obi,Kano,1,0.87,0,223.81,913.34,51.0,None,0,Services Supplier 12 (IND),65,80.0,7.6,4.67,65,8.9,24.0,1,36.3,Medium Risk
PO100565,2024-11-15,SUP1020,Equipment Supplier 2 (CHI),MAT2053,Equipment Item 15,Equipment,411,294304.06,120958967.25,78861.69,USD,2024-12-25,2025-01-09,Delivered,Paid,John Obi,Ibadan,0,0.31,0,240.79,1075.27,25.0,None,0,Equipment Supplier 2 (CHI),65,63.7,6.2,0.72,73,21.6,15.0,1,25.0,Low Risk
PO100566,2024-06-19,SUP1027,Equipment Supplier 9 (IND),MAT2047,Equipment Item 9,Equipment,500,137175.01,68587507.04,73227.08,USD,2024-07-09,2024-07-12,Delivered,Overdue,Chidi Eze,Lagos,1,0.89,0,251.0,942.84,51.0,None,0,Equipment Supplier 9 (IND),52,86.5,11.4,3.96,25,11.3,3.0,1,44.2,Medium Risk
PO100567,2025-01-23,SUP1004,Raw Materials Supplier 5 (NIG),MAT2001,Raw Materials Item 2,Raw Materials,821,59164.98,48574452.53,,NGN,2025-02-27,2025-03-20,Delivered,Paid,Chidi Eze,Lagos,0,0.23,1,257.43,1212.26,42.0,None,0,Raw Materials Supplier 5 (NIG),80,61.1,3.0,6.13,33,11.1,21.0,1,26.5,Low Risk
PO100568,2025-07-02,SUP1039,Services Supplier 12 (IND),MAT2068,Services Item 15,Services,77,150845.33,11615090.44,8004.16,USD,2025-08-07,2025-08-29,Delivered,Pending,Chidi Eze,Kano,1,0.42,0,304.31,1318.12,59.0,None,0,Services Supplier 12 (IND),47,91.1,10.2,3.88,35,8.6,22.0,1,46.1,Medium Risk
PO100569,2024-10-23,SUP1010,Packaging Supplier 3 (NIG),MAT2030,Packaging Item 10,Packaging,688,475916.35,327430446.32,,NGN,2024-11-07,2024-12-03,Delivered,Overdue,Sarah Ahmed,Kano,1,0.69,0,216.27,1170.99,70.0,None,0,Packaging Supplier 3 (NIG),55,88.3,11.8,5.46,72,20.6,26.0,1,48.5,Medium Risk
PO100570,2024-06-03,SUP1036,Services Supplier 9 (NIG),MAT2065,Services Item 12,Services,190,77875.95,14796429.67,,NGN,2024-06-23,2024-06-24,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.72,0,213.84,996.21,64.0,None,0,Services Supplier 9 (NIG),80,91.7,12.4,6.42,34,25.6,1.0,1,39.6,Medium Risk
PO100571,2025-12-16,SUP1004,Raw Materials Supplier 5 (NIG),MAT2002,Raw Materials Item 3,Raw Materials,102,158710.77,16188498.23,,NGN,2026-03-08,,Pending,Pending,Chidi Eze,Kano,0,0.13,1,279.61,1517.95,41.0,None,0,Raw Materials Supplier 5 (NIG),59,84.5,12.3,1.44,44,16.3,,0,37.0,Medium Risk
PO100572,2024-02-25,SUP1012,Packaging Supplier 5 (USA),MAT2035,Packaging Item 15,Packaging,686,425174.57,291669753.88,238096.85,USD,2024-03-29,2024-04-21,Delivered,Pending,Sarah Ahmed,Kano,0,0.35,0,218.25,906.52,34.0,None,0,Packaging Supplier 5 (USA),57,77.2,14.1,5.08,37,17.9,23.0,1,44.0,Medium Risk
PO100573,2026-01-20,SUP1023,Equipment Supplier 5 (IND),MAT2044,Equipment Item 6,Equipment,950,375604.55,356824319.37,310881.71,USD,2026-04-20,,Pending,Pending,John Obi,Kano,0,0.28,1,359.43,1739.19,61.0,None,0,Equipment Supplier 5 (IND),23,79.0,5.7,1.87,26,8.1,,0,48.5,Medium Risk
PO100574,2024-03-04,SUP1029,Services Supplier 2 (NIG),MAT2055,Services Item 2,Services,877,50800.54,44552071.04,,NGN,2024-03-30,2024-03-30,Delivered,Paid,John Obi,Kano,0,0.37,0,209.87,818.93,28.0,None,0,Services Supplier 2 (NIG),64,86.3,5.0,6.0,58,14.8,0.0,0,32.6,Medium Risk
PO100575,2025-09-20,SUP1027,Equipment Supplier 9 (IND),MAT2049,Equipment Item 11,Equipment,122,428762.23,52308991.78,35046.87,USD,2025-10-23,2025-10-23,Delivered,Overdue,Chidi Eze,Ibadan,1,0.49,0,319.19,1527.72,67.0,None,0,Equipment Supplier 9 (IND),35,94.7,7.8,6.68,46,15.5,0.0,0,53.9,Medium Risk
PO100576,2026-02-22,SUP1030,Services Supplier 3 (CHI),MAT2055,Services Item 2,Services,425,56529.06,24024849.45,19436.09,USD,2026-03-20,,Pending,Pending,John Obi,Lagos,0,0.33,0,328.85,1729.76,28.0,None,0,Services Supplier 3 (CHI),57,61.0,14.1,2.95,64,20.3,,0,39.9,Medium Risk
PO100577,2025-09-15,SUP1038,Services Supplier 11 (CHI),MAT2068,Services Item 15,Services,873,186558.58,162865638.3,110644.66,USD,2025-10-21,2025-10-21,Delivered,Paid,John Obi,Lagos,1,0.5,0,310.36,1591.92,50.0,None,0,Services Supplier 11 (CHI),69,75.0,4.3,4.96,84,13.7,0.0,0,31.6,Medium Risk
PO100578,2024-05-08,SUP1006,Raw Materials Supplier 7 (NIG),MAT2007,Raw Materials Item 8,Raw Materials,157,381015.98,59819508.73,,NGN,2024-06-11,2024-07-03,Delivered,Paid,John Obi,Lagos,1,0.34,0,217.16,955.45,46.0,None,0,Raw Materials Supplier 7 (NIG),75,73.4,6.0,0.81,84,21.3,22.0,1,24.1,Low Risk
PO100579,2025-12-13,SUP1030,Services Supplier 3 (CHI),MAT2064,Services Item 11,Services,890,414220.46,368656210.84,257595.7,USD,2026-01-20,2026-02-11,Delivered,Overdue,Chidi Eze,Ibadan,0,0.26,1,312.28,1500.75,55.0,None,0,Services Supplier 3 (CHI),49,65.9,7.8,1.37,84,9.8,22.0,1,38.5,Medium Risk
PO100580,2025-09-12,SUP1039,Services Supplier 12 (IND),MAT2066,Services Item 13,Services,403,432711.73,174382827.44,183825.42,USD,2025-11-18,2025-12-14,Delivered,Paid,Chidi Eze,Kano,1,0.72,0,287.37,1520.0,44.0,None,0,Services Supplier 12 (IND),45,94.8,8.3,5.11,84,5.1,26.0,1,44.6,Medium Risk
PO100581,2024-11-26,SUP1032,Services Supplier 5 (NIG),MAT2067,Services Item 14,Services,958,107046.06,102550123.87,,NGN,2025-01-30,2025-01-27,Delivered,Pending,John Obi,Kano,0,0.34,0,230.8,1227.69,32.0,None,0,Services Supplier 5 (NIG),63,89.8,2.5,7.85,79,16.0,-3.0,0,33.9,Medium Risk
PO100582,2025-07-02,SUP1006,Raw Materials Supplier 7 (NIG),MAT2005,Raw Materials Item 6,Raw Materials,155,39020.63,6048197.97,,NGN,2025-07-13,2025-07-25,Delivered,Paid,Chidi Eze,Kano,1,0.42,0,304.31,1318.12,59.0,None,0,Raw Materials Supplier 7 (NIG),78,94.7,11.0,5.51,63,21.7,12.0,1,36.9,Medium Risk
PO100583,2024-05-25,SUP1008,Packaging Supplier 1 (CHI),MAT2021,Packaging Item 1,Packaging,493,497419.42,245227774.57,184244.7,USD,2024-06-22,2024-07-21,Delivered,Pending,Chidi Eze,Lagos,1,0.82,0,204.79,908.54,50.0,None,0,Packaging Supplier 1 (CHI),64,71.7,13.3,6.97,35,22.4,29.0,1,45.7,Medium Risk
PO100584,2025-02-10,SUP1006,Raw Materials Supplier 7 (NIG),MAT2005,Raw Materials Item 6,Raw Materials,490,35246.6,17270831.72,,NGN,2025-02-21,2025-03-09,Delivered,Pending,Sarah Ahmed,Lagos,0,0.11,0,291.97,1322.24,27.0,None,0,Raw Materials Supplier 7 (NIG),74,88.8,12.4,5.17,71,10.9,16.0,1,34.6,Medium Risk
PO100585,2024-04-01,SUP1020,Equipment Supplier 2 (CHI),MAT2046,Equipment Item 8,Equipment,754,542325.75,408913614.05,405525.65,USD,2024-04-21,2024-04-26,Delivered,Pending,Chidi Eze,Kano,1,0.41,0,199.29,814.85,62.0,None,0,Equipment Supplier 2 (CHI),40,61.3,5.4,5.79,70,7.3,5.0,1,47.4,Medium Risk
PO100586,2024-03-23,SUP1027,Equipment Supplier 9 (IND),MAT2047,Equipment Item 9,Equipment,506,117086.98,59246013.82,49188.17,USD,2024-04-12,2024-04-24,Delivered,Pending,Sarah Ahmed,Ibadan,0,0.24,0,209.64,811.33,36.0,None,0,Equipment Supplier 9 (IND),46,87.4,7.2,3.54,89,20.2,12.0,1,39.5,Medium Risk
PO100587,2024-03-10,SUP1006,Raw Materials Supplier 7 (NIG),MAT2008,Raw Materials Item 9,Raw Materials,628,332813.55,209006912.53,,NGN,2024-05-29,2024-06-02,Delivered,Pending,John Obi,Ibadan,0,0.1,0,226.84,900.42,41.0,None,0,Raw Materials Supplier 7 (NIG),79,62.0,12.0,3.11,70,18.3,4.0,1,31.2,Medium Risk
PO100588,2026-02-11,SUP1015,Packaging Supplier 8 (NIG),MAT2035,Packaging Item 15,Packaging,506,431080.97,218126971.27,,NGN,2026-03-16,,Pending,Pending,Sarah Ahmed,Lagos,0,0.38,0,281.44,1813.07,35.0,None,0,Packaging Supplier 8 (NIG),82,71.1,13.0,6.5,49,23.7,,0,35.2,Medium Risk
PO100589,2024-07-22,SUP1013,Packaging Supplier 6 (NIG),MAT2031,Packaging Item 11,Packaging,867,354109.69,307013097.13,,NGN,2024-08-28,2024-09-16,Delivered,Overdue,Chidi Eze,Kano,1,0.47,0,220.92,1035.9,70.0,None,0,Packaging Supplier 6 (NIG),49,87.0,10.6,2.57,39,12.3,19.0,1,45.4,Medium Risk
PO100590,2024-08-14,SUP1018,Packaging Supplier 11 (IND),MAT2033,Packaging Item 13,Packaging,601,331308.53,199116428.49,185042.03,USD,2024-08-26,2024-08-28,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.41,0,221.08,1096.49,63.0,None,0,Packaging Supplier 11 (IND),84,62.3,4.6,3.59,51,17.9,2.0,1,25.8,Low Risk
PO100591,2024-12-29,SUP1031,Services Supplier 4 (NIG),MAT2062,Services Item 9,Services,774,531513.42,411391390.19,,NGN,2025-01-27,2025-02-05,Delivered,Overdue,Sarah Ahmed,Ibadan,0,0.28,1,285.02,1218.41,58.0,Strike,10,Services Supplier 4 (NIG),64,77.6,11.0,2.55,88,19.6,9.0,1,52.9,Medium Risk
PO100592,2024-07-22,SUP1031,Services Supplier 4 (NIG),MAT2059,Services Item 6,Services,22,101797.56,2239546.41,,NGN,2024-08-29,2024-09-17,Delivered,Paid,John Obi,Kano,1,0.47,0,220.92,1035.9,70.0,None,0,Services Supplier 4 (NIG),59,89.9,14.4,4.83,15,16.2,19.0,1,48.5,Medium Risk
PO100593,2025-12-08,SUP1019,Equipment Supplier 1 (NIG),MAT2050,Equipment Item 12,Equipment,989,300429.79,297125064.53,,NGN,2026-01-16,2026-01-28,Delivered,Pending,John Obi,Ibadan,0,0.21,1,285.86,1737.8,61.0,None,0,Equipment Supplier 1 (NIG),83,79.6,9.5,2.45,79,19.9,12.0,1,29.1,Low Risk
PO100594,2025-12-26,SUP1038,Services Supplier 11 (CHI),MAT2066,Services Item 13,Services,482,505608.31,243703204.32,174164.19,USD,2026-03-03,,Pending,Pending,Chidi Eze,Ibadan,0,0.35,1,333.81,1615.21,47.0,None,0,Services Supplier 11 (CHI),55,81.6,7.3,4.22,84,7.0,,0,38.7,Medium Risk
PO100595,2026-01-18,SUP1012,Packaging Supplier 5 (USA),MAT2035,Packaging Item 15,Packaging,330,499656.44,164886625.71,123211.41,USD,2026-02-20,2026-02-15,Delivered,Paid,Chidi Eze,Ibadan,0,0.14,1,356.1,1635.12,52.0,None,0,Packaging Supplier 5 (USA),66,79.4,7.7,7.44,20,7.7,-5.0,0,40.3,Medium Risk
PO100596,2025-02-18,SUP1008,Packaging Supplier 1 (CHI),MAT2035,Packaging Item 15,Packaging,752,450241.51,338581617.25,354734.96,USD,2025-03-23,2025-03-23,Delivered,Paid,Chidi Eze,Kano,0,0.33,0,302.37,1215.09,37.0,Political Unrest,4,Packaging Supplier 1 (CHI),40,93.8,11.7,3.2,19,6.9,0.0,0,52.0,Medium Risk
PO100597,2024-06-28,SUP1001,Raw Materials Supplier 2 (UK),MAT2016,Raw Materials Item 17,Raw Materials,98,276180.07,27065646.88,29942.33,USD,2024-07-14,2024-07-20,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.68,0,215.12,912.22,47.0,None,0,Raw Materials Supplier 2 (UK),70,83.6,8.2,4.93,67,5.4,6.0,1,34.6,Medium Risk
PO100598,2025-06-17,SUP1007,Raw Materials Supplier 8 (USA),MAT2002,Raw Materials Item 3,Raw Materials,664,174688.27,115993008.32,72668.31,USD,2025-09-07,2025-09-22,Delivered,Paid,Sarah Ahmed,Lagos,1,0.65,0,274.17,1456.38,59.0,None,0,Raw Materials Supplier 8 (USA),82,76.0,5.2,3.54,20,17.2,15.0,1,26.6,Low Risk
PO100599,2025-03-22,SUP1037,Services Supplier 10 (NIG),MAT2070,Services Item 17,Services,350,205317.68,71861187.06,,NGN,2025-04-06,2025-04-06,Delivered,Paid,Sarah Ahmed,Lagos,0,0.23,0,262.64,1308.51,39.0,None,0,Services Supplier 10 (NIG),79,83.9,5.1,7.98,24,29.2,0.0,0,31.3,Medium Risk
PO100600,2025-07-12,SUP1010,Packaging Supplier 3 (NIG),MAT2037,Packaging Item 17,Packaging,634,338379.4,214532542.66,,NGN,2025-08-26,2025-08-27,Delivered,Overdue,John Obi,Kano,1,0.82,0,256.04,1320.3,63.0,None,0,Packaging Supplier 3 (NIG),37,82.7,3.9,7.14,70,29.5,1.0,1,49.3,Medium Risk
PO100601,2025-12-14,SUP1007,Raw Materials Supplier 8 (USA),MAT2017,Raw Materials Item 18,Raw Materials,944,414869.57,391636871.07,388838.4,USD,2026-03-01,,Pending,Pending,John Obi,Kano,0,0.19,1,329.28,1657.84,43.0,None,0,Raw Materials Supplier 8 (USA),64,81.5,2.7,4.38,33,14.3,,0,30.1,Medium Risk
PO100602,2024-11-07,SUP1038,Services Supplier 11 (CHI),MAT2067,Services Item 14,Services,29,121086.06,3511495.67,3820.65,USD,2025-01-11,2025-01-08,Delivered,Pending,John Obi,Kano,0,0.39,0,271.85,1231.77,27.0,None,0,Services Supplier 11 (CHI),77,80.0,12.7,4.71,40,6.6,-3.0,0,33.0,Medium Risk
PO100603,2025-01-27,SUP1029,Services Supplier 2 (NIG),MAT2059,Services Item 6,Services,598,89774.45,53685118.12,,NGN,2025-03-06,2025-04-01,Delivered,Overdue,Chidi Eze,Lagos,0,0.36,1,277.82,1308.88,43.0,None,0,Services Supplier 2 (NIG),84,70.5,9.0,4.65,37,15.1,26.0,1,28.8,Low Risk
PO100604,2025-08-31,SUP1009,Packaging Supplier 2 (CHI),MAT2038,Packaging Item 18,Packaging,13,159027.72,2067360.38,1529.78,USD,2025-09-16,2025-09-18,Delivered,Pending,Sarah Ahmed,Kano,1,0.4,0,304.49,1577.9,52.0,Port Closure,3,Packaging Supplier 2 (CHI),20,76.5,10.8,1.29,21,6.7,2.0,1,57.0,Medium Risk
PO100605,2024-12-31,SUP1037,Services Supplier 10 (NIG),MAT2059,Services Item 6,Services,66,116283.26,7674695.12,,NGN,2025-02-07,2025-02-07,Delivered,Pending,John Obi,Ibadan,0,0.29,1,245.23,1147.52,58.0,None,0,Services Supplier 10 (NIG),80,83.9,3.8,5.89,79,20.3,0.0,0,29.3,Low Risk
PO100606,2024-12-17,SUP1018,Packaging Supplier 11 (IND),MAT2033,Packaging Item 13,Packaging,190,310465.54,58988452.41,37476.53,USD,2024-12-29,2025-01-12,Delivered,Paid,Chidi Eze,Kano,0,0.26,1,286.54,1269.6,55.0,None,0,Packaging Supplier 11 (IND),63,83.1,4.3,6.89,77,20.6,14.0,1,37.7,Medium Risk
PO100607,2025-02-26,SUP1032,Services Supplier 5 (NIG),MAT2054,Services Item 1,Services,96,332405.15,31910894.37,,NGN,2025-04-28,2025-05-05,Delivered,Paid,John Obi,Kano,0,0.14,0,255.7,1276.9,26.0,None,0,Services Supplier 5 (NIG),73,77.2,6.1,7.33,60,22.1,7.0,1,31.8,Medium Risk
PO100608,2025-10-24,SUP1017,Packaging Supplier 10 (IND),MAT2029,Packaging Item 9,Packaging,510,29070.57,14825988.25,10337.52,USD,2026-01-04,2026-01-30,Delivered,Overdue,John Obi,Lagos,1,0.77,0,338.91,1661.34,66.0,None,0,Packaging Supplier 10 (IND),71,88.4,10.7,1.75,53,12.3,26.0,1,34.8,Medium Risk
PO100609,2025-02-06,SUP1006,Raw Materials Supplier 7 (NIG),MAT2011,Raw Materials Item 12,Raw Materials,355,206774.22,73404848.65,,NGN,2025-04-06,2025-04-06,Delivered,Overdue,Chidi Eze,Kano,0,0.39,0,239.78,1285.24,40.0,None,0,Raw Materials Supplier 7 (NIG),74,88.8,12.4,5.17,71,10.9,0.0,0,36.6,Medium Risk
PO100610,2024-07-26,SUP1010,Packaging Supplier 3 (NIG),MAT2030,Packaging Item 10,Packaging,957,374150.93,358062443.47,,NGN,2024-08-10,2024-09-05,Delivered,Overdue,Chidi Eze,Lagos,1,0.79,0,227.39,1055.56,65.0,None,0,Packaging Supplier 3 (NIG),38,80.7,8.0,4.66,71,13.5,26.0,1,49.5,Medium Risk
PO100611,2024-10-30,SUP1012,Packaging Supplier 5 (USA),MAT2021,Packaging Item 1,Packaging,24,414672.02,9952128.41,11848.25,USD,2024-11-27,2024-11-28,Delivered,Paid,Chidi Eze,Lagos,1,0.72,0,282.12,1241.96,67.0,None,0,Packaging Supplier 5 (USA),85,82.6,6.7,6.9,58,6.6,1.0,1,33.1,Medium Risk
PO100612,2024-06-12,SUP1004,Raw Materials Supplier 5 (NIG),MAT2008,Raw Materials Item 9,Raw Materials,519,393651.03,204304882.45,,NGN,2024-08-31,2024-08-30,Delivered,Overdue,Sarah Ahmed,Kano,1,0.63,0,229.2,915.58,47.0,None,0,Raw Materials Supplier 5 (NIG),68,73.8,4.1,6.03,64,26.6,-1.0,0,33.0,Medium Risk
PO100613,2026-01-19,SUP1036,Services Supplier 9 (NIG),MAT2063,Services Item 10,Services,342,11571.08,3957310.67,,NGN,2026-03-09,,Pending,Pending,John Obi,Ibadan,0,0.39,1,275.03,1723.88,51.0,None,0,Services Supplier 9 (NIG),63,94.1,8.8,7.83,31,24.9,,0,43.0,Medium Risk
PO100614,2024-09-30,SUP1005,Raw Materials Supplier 6 (NIG),MAT2016,Raw Materials Item 17,Raw Materials,617,212912.3,131366891.14,,NGN,2024-10-16,2024-10-16,Delivered,Overdue,John Obi,Kano,1,0.33,0,216.1,1087.96,53.0,None,0,Raw Materials Supplier 6 (NIG),73,82.5,7.1,4.17,90,15.1,0.0,0,32.1,Medium Risk
PO100615,2025-03-09,SUP1012,Packaging Supplier 5 (USA),MAT2023,Packaging Item 3,Packaging,459,438953.22,201479528.33,159198.27,USD,2025-05-13,2025-05-13,Delivered,Overdue,John Obi,Lagos,0,0.24,0,243.97,1208.45,40.0,None,0,Packaging Supplier 5 (USA),72,82.5,8.5,7.74,72,24.3,0.0,0,37.3,Medium Risk
PO100616,2025-07-07,SUP1001,Raw Materials Supplier 2 (UK),MAT2008,Raw Materials Item 9,Raw Materials,16,308587.92,4937406.68,3204.22,USD,2025-09-25,2025-10-08,Delivered,Overdue,Chidi Eze,Lagos,1,0.79,0,329.92,1402.21,44.0,None,0,Raw Materials Supplier 2 (UK),80,85.9,11.9,5.73,27,13.5,13.0,1,35.1,Medium Risk
PO100617,2024-09-23,SUP1017,Packaging Supplier 10 (IND),MAT2034,Packaging Item 14,Packaging,665,201166.67,133775837.01,115290.67,USD,2024-12-13,2024-12-13,Delivered,Paid,Chidi Eze,Lagos,1,0.37,0,228.88,1034.84,53.0,None,0,Packaging Supplier 10 (IND),56,94.7,13.4,1.39,72,11.3,0.0,0,41.0,Medium Risk
PO100618,2025-07-20,SUP1006,Raw Materials Supplier 7 (NIG),MAT2016,Raw Materials Item 17,Raw Materials,652,273405.04,178260086.0,,NGN,2025-08-05,2025-08-26,Partial,Paid,John Obi,Lagos,1,0.87,0,314.11,1305.88,42.0,None,0,Raw Materials Supplier 7 (NIG),78,94.7,11.0,5.51,63,21.7,21.0,1,34.4,Medium Risk
PO100619,2025-08-20,SUP1007,Raw Materials Supplier 8 (USA),MAT2015,Raw Materials Item 16,Raw Materials,643,70151.57,45107457.22,32016.02,USD,2025-09-19,2025-09-28,Delivered,Paid,Sarah Ahmed,Lagos,1,0.42,0,320.18,1497.88,45.0,None,0,Raw Materials Supplier 8 (USA),71,82.4,11.2,0.79,28,14.0,9.0,1,30.7,Medium Risk
PO100620,2024-09-10,SUP1004,Raw Materials Supplier 5 (NIG),MAT2000,Raw Materials Item 1,Raw Materials,825,199522.54,164606097.99,,NGN,2024-11-22,2024-12-17,Delivered,Paid,Chidi Eze,Lagos,1,0.7,0,228.56,1106.17,41.0,None,0,Raw Materials Supplier 5 (NIG),64,63.9,7.9,3.9,77,13.8,25.0,1,34.3,Medium Risk
PO100621,2024-04-20,SUP1024,Equipment Supplier 6 (IND),MAT2050,Equipment Item 12,Equipment,301,236215.49,71100862.72,71022.35,USD,2024-05-29,2024-06-22,Partial,Paid,Chidi Eze,Lagos,1,0.82,0,249.67,965.57,66.0,Political Unrest,7,Equipment Supplier 6 (IND),28,62.1,8.0,3.55,76,5.6,24.0,1,62.5,High Risk
PO100622,2024-08-04,SUP1004,Raw Materials Supplier 5 (NIG),MAT2001,Raw Materials Item 2,Raw Materials,506,64351.98,32562103.17,,NGN,2024-09-08,2024-09-08,Delivered,Overdue,Chidi Eze,Kano,1,0.52,0,231.78,983.66,52.0,None,0,Raw Materials Supplier 5 (NIG),78,78.6,5.5,1.91,23,13.6,0.0,0,25.0,Low Risk
PO100623,2025-01-23,SUP1032,Services Supplier 5 (NIG),MAT2056,Services Item 3,Services,213,479500.87,102133685.08,,NGN,2025-04-14,2025-04-23,Delivered,Pending,John Obi,Lagos,0,0.23,1,257.43,1212.26,42.0,None,0,Services Supplier 5 (NIG),56,93.1,8.8,6.37,83,18.9,9.0,1,42.3,Medium Risk
PO100624,2024-10-24,SUP1031,Services Supplier 4 (NIG),MAT2056,Services Item 3,Services,900,388156.22,349340599.12,,NGN,2025-01-13,2025-01-12,Delivered,Overdue,John Obi,Ibadan,1,0.67,0,239.53,1217.36,52.0,None,0,Services Supplier 4 (NIG),67,60.3,13.1,2.87,52,26.7,-1.0,0,38.4,Medium Risk
PO100625,2024-07-22,SUP1009,Packaging Supplier 2 (CHI),MAT2035,Packaging Item 15,Packaging,960,511214.14,490765577.34,520734.57,USD,2024-08-24,2024-09-17,Delivered,Pending,Sarah Ahmed,Lagos,1,0.47,0,220.92,1035.9,70.0,None,0,Packaging Supplier 2 (CHI),30,84.8,5.5,1.15,45,12.4,24.0,1,45.7,Medium Risk
PO100626,2025-02-02,SUP1009,Packaging Supplier 2 (CHI),MAT2029,Packaging Item 9,Packaging,42,32579.74,1368349.24,1614.15,USD,2025-04-15,2025-04-15,Delivered,Overdue,Sarah Ahmed,Lagos,0,0.3,0,283.86,1176.46,39.0,None,0,Packaging Supplier 2 (CHI),48,61.6,8.8,5.44,54,5.4,0.0,0,43.6,Medium Risk
PO100627,2025-02-10,SUP1010,Packaging Supplier 3 (NIG),MAT2027,Packaging Item 7,Packaging,917,362166.32,332106513.92,,NGN,2025-02-24,2025-02-24,Delivered,Paid,Chidi Eze,Kano,0,0.11,0,291.97,1322.24,27.0,None,0,Packaging Supplier 3 (NIG),39,89.8,2.8,7.26,21,10.0,0.0,0,42.1,Medium Risk
PO100628,2024-10-17,SUP1001,Raw Materials Supplier 2 (UK),MAT2014,Raw Materials Item 15,Raw Materials,431,148745.43,64109281.04,53811.36,USD,2024-11-17,2024-12-12,Delivered,Pending,John Obi,Kano,1,0.58,0,257.43,1182.7,58.0,None,0,Raw Materials Supplier 2 (UK),61,75.7,14.9,7.0,36,9.4,25.0,1,49.7,Medium Risk
PO100629,2025-05-08,SUP1008,Packaging Supplier 1 (CHI),MAT2031,Packaging Item 11,Packaging,263,331323.5,87138079.51,68961.62,USD,2025-06-14,2025-06-18,Delivered,Paid,Sarah Ahmed,Lagos,1,0.49,0,315.88,1276.82,49.0,None,0,Packaging Supplier 1 (CHI),48,78.4,11.0,5.09,28,16.4,4.0,1,46.8,Medium Risk
PO100630,2024-04-06,SUP1032,Services Supplier 5 (NIG),MAT2064,Services Item 11,Services,761,464384.99,353396980.08,,NGN,2024-05-14,2024-05-14,Delivered,Overdue,Chidi Eze,Lagos,1,0.46,0,228.11,863.75,48.0,None,0,Services Supplier 5 (NIG),77,86.1,12.3,1.86,76,30.0,0.0,0,31.5,Medium Risk
PO100631,2025-06-02,SUP1036,Services Supplier 9 (NIG),MAT2055,Services Item 2,Services,256,49797.76,12748227.4,,NGN,2025-06-28,2025-07-19,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.67,0,291.09,1342.79,65.0,None,0,Services Supplier 9 (NIG),77,63.7,9.6,4.08,35,10.6,21.0,1,34.7,Medium Risk
PO100632,2024-10-26,SUP1005,Raw Materials Supplier 6 (NIG),MAT2013,Raw Materials Item 14,Raw Materials,26,32065.95,833714.73,,NGN,2024-12-15,2025-01-08,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.63,0,241.45,1076.53,66.0,None,0,Raw Materials Supplier 6 (NIG),66,67.7,11.3,0.6,41,23.1,24.0,1,35.7,Medium Risk
