po_number,supplier_id,supplier_name,po_date,expected_delivery_date,actual_delivery_date,actual_lead_days,expected_lead_days,lead_time_variance,lateness_flag
PO100598,SUP1007,Raw Materials Supplier 8 (USA),2025-06-17,2025-09-07,2025-09-22,97,82,15,1
PO101841,SUP1007,Raw Materials Supplier 8 (USA),2025-06-17,2025-07-24,2025-07-25,38,37,1,1
PO100345,SUP1007,Raw Materials Supplier 8 (USA),2025-06-20,2025-07-21,2025-08-15,56,31,25,1
PO101589,SUP1007,Raw Materials Supplier 8 (USA),2025-06-23,2025-07-06,2025-07-06,13,13,0,0
PO101219,SUP1007,Raw Materials Supplier 8 (USA),2025-06-25,2025-08-01,2025-08-01,37,37,0,0
PO101052,SUP1007,Raw Materials Supplier 8 (USA),2025-07-07,2025-07-14,2025-08-06,30,7,23,1
PO101981,SUP1007,Raw Materials Supplier 8 (USA),2025-07-24,2025-07-31,2025-07-31,7,7,0,0
PO101680,SUP1007,Raw Materials Supplier 8 (USA),2025-08-19,2025-08-30,2025-08-30,11,11,0,0
PO100619,SUP1007,Raw Materials Supplier 8 (USA),2025-08-20,2025-09-19,2025-09-28,39,30,9,1
PO100975,SUP1007,Raw Materials Supplier 8 (USA),2025-08-23,2025-09-27,2025-10-16,54,35,19,1
PO101138,SUP1007,Raw Materials Supplier 8 (USA),2025-08-27,2025-10-25,2025-10-24,58,59,-1,0
PO102233,SUP1007,Raw Materials Supplier 8 (USA),2025-08-30,2025-11-15,2025-12-12,104,77,27,1
PO100106,SUP1007,Raw Materials Supplier 8 (USA),2025-09-14,2025-10-03,2025-10-03,19,19,0,0
PO100139,SUP1007,Raw Materials Supplier 8 (USA),2025-09-22,2025-10-11,2025-10-11,19,19,0,0
PO101319,SUP1007,Raw Materials Supplier 8 (USA),2025-09-22,2025-10-08,2025-10-19,27,16,11,1
PO100706,SUP1007,Raw Materials Supplier 8 (USA),2025-10-01,2025-10-17,2025-11-14,44,16,28,1
PO101639,SUP1007,Raw Materials Supplier 8 (USA),2025-10-05,2025-12-21,2026-01-11,98,77,21,1
PO102159,SUP1007,Raw Materials Supplier 8 (USA),2025-10-05,2025-10-24,2025-11-09,35,19,16,1
PO100505,SUP1007,Raw Materials Supplier 8 (USA),2025-10-06,2025-12-12,2025-12-12,67,67,0,0
PO100045,SUP1007,Raw Materials Supplier 8 (USA),2025-10-07,2025-10-23,2025-11-04,28,16,12,1
PO100981,SUP1007,Raw Materials Supplier 8 (USA),2025-10-14,2025-11-20,2025-12-20,67,37,30,1
PO101922,SUP1007,Raw Materials Supplier 8 (USA),2025-10-18,2025-11-06,2025-11-17,30,19,11,1
PO100868,SUP1007,Raw Materials Supplier 8 (USA),2025-10-29,2025-11-09,2025-11-27,29,11,18,1
PO100175,SUP1007,Raw Materials Supplier 8 (USA),2025-11-03,2025-11-17,2025-12-16,43,14,29,1
PO101054,SUP1007,Raw Materials Supplier 8 (USA),2025-11-06,2025-11-25,2025-11-25,19,19,0,0
PO101123,SUP1007,Raw Materials Supplier 8 (USA),2025-11-07,2026-01-28,2026-01-31,85,82,3,1
PO101435,SUP1007,Raw Materials Supplier 8 (USA),2025-11-13,2025-12-18,2025-12-18,35,35,0,0
PO102212,SUP1007,Raw Materials Supplier 8 (USA),2025-11-17,2025-12-01,2025-12-16,29,14,15,1
PO100478,SUP1007,Raw Materials Supplier 8 (USA),2025-11-30,2026-02-20,2026-02-20,82,82,0,0
PO102445,SUP1007,Raw Materials Supplier 8 (USA),2025-12-10,2026-02-15,2026-02-15,67,67,0,0
PO101574,SUP1007,Raw Materials Supplier 8 (USA),2025-12-11,2026-01-17,2026-02-08,59,37,22,1
PO101906,SUP1007,Raw Materials Supplier 8 (USA),2025-12-12,2026-01-12,2026-02-02,52,31,21,1
PO101420,SUP1007,Raw Materials Supplier 8 (USA),2025-12-15,2026-01-21,2026-01-30,46,37,9,1
PO100513,SUP1007,Raw Materials Supplier 8 (USA),2026-01-04,2026-02-03,2026-02-15,42,30,12,1
PO101451,SUP1007,Raw Materials Supplier 8 (USA),2026-01-05,2026-02-11,2026-02-11,37,37,0,0
PO101106,SUP1007,Raw Materials Supplier 8 (USA),2026-01-11,2026-02-11,2026-02-09,29,31,-2,0
PO101110,SUP1008,Packaging Supplier 1 (CHI),2024-02-25,2024-03-12,2024-03-12,16,16,0,0
PO102087,SUP1008,Packaging Supplier 1 (CHI),2024-02-26,2024-04-23,2024-04-19,53,57,-4,0
PO101739,SUP1008,Packaging Supplier 1 (CHI),2024-03-10,2024-05-21,2024-06-19,101,72,29,1
PO100421,SUP1008,Packaging Supplier 1 (CHI),2024-03-18,2024-05-01,2024-05-01,44,44,0,0
PO101048,SUP1008,Packaging Supplier 1 (CHI),2024-03-21,2024-06-01,2024-06-01,72,72,0,0
PO100021,SUP1008,Packaging Supplier 1 (CHI),2024-03-27,2024-05-23,2024-05-23,57,57,0,0
PO100477,SUP1008,Packaging Supplier 1 (CHI),2024-03-30,2024-06-10,2024-06-18,80,72,8,1
PO102464,SUP1008,Packaging Supplier 1 (CHI),2024-04-05,2024-04-21,2024-04-21,16,16,0,0
PO101156,SUP1008,Packaging Supplier 1 (CHI),2024-04-07,2024-05-14,2024-05-10,33,37,-4,0
PO101560,SUP1008,Packaging Supplier 1 (CHI),2024-04-14,2024-05-21,2024-06-20,67,37,30,1
PO102209,SUP1008,Packaging Supplier 1 (CHI),2024-04-20,2024-05-18,2024-05-21,31,28,3,1
PO100664,SUP1008,Packaging Supplier 1 (CHI),2024-05-13,2024-07-23,2024-07-28,76,71,5,1
PO101536,SUP1008,Packaging Supplier 1 (CHI),2024-05-21,2024-07-31,2024-08-24,95,71,24,1
PO100583,SUP1008,Packaging Supplier 1 (CHI),2024-05-25,2024-06-22,2024-07-21,57,28,29,1
PO101901,SUP1008,Packaging Supplier 1 (CHI),2024-06-09,2024-08-05,2024-08-25,77,57,20,1
PO100100,SUP1008,Packaging Supplier 1 (CHI),2024-06-12,2024-08-08,2024-08-22,71,57,14,1
PO100669,SUP1008,Packaging Supplier 1 (CHI),2024-06-25,2024-09-11,2024-09-11,78,78,0,0
PO100520,SUP1008,Packaging Supplier 1 (CHI),2024-07-15,2024-09-24,2024-09-27,74,71,3,1
PO102472,SUP1008,Packaging Supplier 1 (CHI),2024-07-28,2024-10-15,2024-10-15,79,79,0,0
PO100040,SUP1008,Packaging Supplier 1 (CHI),2024-08-03,2024-08-31,2024-09-25,53,28,25,1
PO102347,SUP1008,Packaging Supplier 1 (CHI),2024-08-20,2024-09-22,2024-09-26,37,33,4,1
PO101903,SUP1008,Packaging Supplier 1 (CHI),2024-09-01,2024-09-16,2024-10-05,34,15,19,1
PO102114,SUP1008,Packaging Supplier 1 (CHI),2024-09-06,2024-10-09,2024-10-13,37,33,4,1
PO101649,SUP1008,Packaging Supplier 1 (CHI),2024-09-10,2024-11-30,2024-12-12,93,81,12,1
PO101332,SUP1008,Packaging Supplier 1 (CHI),2024-09-15,2024-09-29,2024-09-29,14,14,0,0
PO102306,SUP1008,Packaging Supplier 1 (CHI),2024-09-25,2024-10-23,2024-11-11,47,28,19,1
PO101653,SUP1008,Packaging Supplier 1 (CHI),2024-10-08,2024-10-22,2024-10-22,14,14,0,0
PO101741,SUP1008,Packaging Supplier 1 (CHI),2024-10-19,2024-12-29,2025-01-13,86,71,15,1
PO102191,SUP1008,Packaging Supplier 1 (CHI),2024-10-21,2024-11-06,2024-11-06,16,16,0,0
PO101150,SUP1008,Packaging Supplier 1 (CHI),2024-10-25,2024-11-22,2024-11-22,28,28,0,0
PO100351,SUP1008,Packaging Supplier 1 (CHI),2024-11-05,2024-11-20,2024-11-20,15,15,0,0
PO102290,SUP1008,Packaging Supplier 1 (CHI),2024-11-07,2024-11-19,2024-11-23,16,12,4,1
PO100441,SUP1008,Packaging Supplier 1 (CHI),2024-11-18,2024-12-04,2024-12-20,32,16,16,1
PO100310,SUP1008,Packaging Supplier 1 (CHI),2024-11-22,2025-02-11,2025-02-06,76,81,-5,0
PO101702,SUP1008,Packaging Supplier 1 (CHI),2024-12-22,2025-02-16,2025-02-16,56,56,0,0
PO100877,SUP1008,Packaging Supplier 1 (CHI),2024-12-24,2025-03-13,2025-03-13,79,79,0,0
PO101105,SUP1008,Packaging Supplier 1 (CHI),2024-12-30,2025-02-13,2025-02-26,58,45,13,1
PO102429,SUP1008,Packaging Supplier 1 (CHI),2025-01-19,2025-02-21,2025-03-06,46,33,13,1
PO101969,SUP1008,Packaging Supplier 1 (CHI),2025-02-11,2025-04-17,2025-04-17,65,65,0,0
PO100596,SUP1008,Packaging Supplier 1 (CHI),2025-02-18,2025-03-23,2025-03-23,33,33,0,0
PO100180,SUP1008,Packaging Supplier 1 (CHI),2025-02-27,2025-03-15,2025-03-15,16,16,0,0
PO102026,SUP1008,Packaging Supplier 1 (CHI),2025-03-17,2025-03-31,2025-04-18,32,14,18,1
PO101618,SUP1008,Packaging Supplier 1 (CHI),2025-03-28,2025-04-11,2025-04-11,14,14,0,0
PO100629,SUP1008,Packaging Supplier 1 (CHI),2025-05-08,2025-06-14,2025-06-18,41,37,4,1
PO100211,SUP1008,Packaging Supplier 1 (CHI),2025-06-09,2025-08-27,2025-08-24,76,79,-3,0
PO102125,SUP1008,Packaging Supplier 1 (CHI),2025-06-12,2025-06-27,2025-07-05,23,15,8,1
PO101250,SUP1008,Packaging Supplier 1 (CHI),2025-06-13,2025-07-11,2025-07-14,31,28,3,1
PO101477,SUP1008,Packaging Supplier 1 (CHI),2025-06-15,2025-08-10,2025-08-25,71,56,15,1
PO100335,SUP1008,Packaging Supplier 1 (CHI),2025-06-24,2025-07-06,2025-07-06,12,12,0,0
PO100718,SUP1008,Packaging Supplier 1 (CHI),2025-06-28,2025-09-14,2025-09-27,91,78,13,1
PO101186,SUP1008,Packaging Supplier 1 (CHI),2025-07-04,2025-07-16,2025-07-16,12,12,0,0
PO101191,SUP1008,Packaging Supplier 1 (CHI),2025-07-06,2025-09-01,2025-09-10,66,57,9,1
PO101521,SUP1008,Packaging Supplier 1 (CHI),2025-07-11,2025-09-20,2025-09-20,71,71,0,0
PO101861,SUP1008,Packaging Supplier 1 (CHI),2025-07-16,2025-09-11,2025-09-08,54,57,-3,0
PO100286,SUP1008,Packaging Supplier 1 (CHI),2025-07-26,2025-09-21,2025-10-13,79,57,22,1
PO101179,SUP1008,Packaging Supplier 1 (CHI),2025-08-11,2025-10-15,2025-10-17,67,65,2,1
PO101968,SUP1008,Packaging Supplier 1 (CHI),2025-08-11,2025-10-21,2025-10-24,74,71,3,1
PO102345,SUP1008,Packaging Supplier 1 (CHI),2025-08-19,2025-10-02,2025-10-22,64,44,20,1
PO100198,SUP1008,Packaging Supplier 1 (CHI),2025-08-20,2025-10-15,2025-11-07,79,56,23,1
PO101049,SUP1008,Packaging Supplier 1 (CHI),2025-08-26,2025-10-02,2025-09-30,35,37,-2,0
PO102097,SUP1008,Packaging Supplier 1 (CHI),2025-10-04,2025-12-24,2025-12-30,87,81,6,1
PO100849,SUP1008,Packaging Supplier 1 (CHI),2025-10-08,2025-12-18,2026-01-04,88,71,17,1
PO100913,SUP1008,Packaging Supplier 1 (CHI),2025-10-23,2025-12-06,2025-12-06,44,44,0,0
PO100108,SUP1008,Packaging Supplier 1 (CHI),2025-11-10,2026-01-20,2026-02-05,87,71,16,1
PO101294,SUP1008,Packaging Supplier 1 (CHI),2025-12-08,2026-02-11,2026-02-11,65,65,0,0
PO102394,SUP1009,Packaging Supplier 2 (CHI),2024-02-25,2024-03-10,2024-03-24,28,14,14,1
PO100857,SUP1009,Packaging Supplier 2 (CHI),2024-03-03,2024-03-15,2024-04-12,40,12,28,1
PO101337,SUP1009,Packaging Supplier 2 (CHI),2024-03-05,2024-05-25,2024-05-23,79,81,-2,0
PO102070,SUP1009,Packaging Supplier 2 (CHI),2024-03-06,2024-04-08,2024-04-07,32,33,-1,0
PO102172,SUP1009,Packaging Supplier 2 (CHI),2024-03-06,2024-05-23,2024-06-17,103,78,25,1
PO100473,SUP1009,Packaging Supplier 2 (CHI),2024-03-15,2024-06-04,2024-06-17,94,81,13,1
PO101157,SUP1009,Packaging Supplier 2 (CHI),2024-04-10,2024-05-17,2024-05-17,37,37,0,0
PO102443,SUP1009,Packaging Supplier 2 (CHI),2024-04-10,2024-06-20,2024-07-12,93,71,22,1
PO102384,SUP1009,Packaging Supplier 2 (CHI),2024-04-14,2024-07-04,2024-07-03,80,81,-1,0
PO100294,SUP1009,Packaging Supplier 2 (CHI),2024-05-01,2024-07-21,2024-07-21,81,81,0,0
PO102152,SUP1009,Packaging Supplier 2 (CHI),2024-05-05,2024-07-01,2024-07-07,63,57,6,1
PO102325,SUP1009,Packaging Supplier 2 (CHI),2024-05-12,2024-07-08,2024-07-30,79,57,22,1
PO101234,SUP1009,Packaging Supplier 2 (CHI),2024-05-23,2024-08-12,2024-08-07,76,81,-5,0
PO101935,SUP1009,Packaging Supplier 2 (CHI),2024-05-25,2024-06-09,2024-06-17,23,15,8,1
PO101093,SUP1009,Packaging Supplier 2 (CHI),2024-05-26,2024-08-06,2024-09-04,101,72,29,1
PO101627,SUP1009,Packaging Supplier 2 (CHI),2024-05-30,2024-06-11,2024-06-11,12,12,0,0
PO100210,SUP1009,Packaging Supplier 2 (CHI),2024-06-02,2024-08-06,2024-08-18,77,65,12,1
PO100426,SUP1009,Packaging Supplier 2 (CHI),2024-06-02,2024-08-22,2024-09-20,110,81,29,1
PO101524,SUP1009,Packaging Supplier 2 (CHI),2024-06-07,2024-08-25,2024-08-21,75,79,-4,0
PO101794,SUP1009,Packaging Supplier 2 (CHI),2024-06-23,2024-09-10,2024-10-03,102,79,23,1
PO101209,SUP1009,Packaging Supplier 2 (CHI),2024-06-28,2024-07-10,2024-07-10,12,12,0,0
PO102250,SUP1009,Packaging Supplier 2 (CHI),2024-07-02,2024-07-18,2024-08-01,30,16,14,1
PO101532,SUP1009,Packaging Supplier 2 (CHI),2024-07-04,2024-09-23,2024-09-22,80,81,-1,0
PO102349,SUP1009,Packaging Supplier 2 (CHI),2024-07-14,2024-10-03,2024-10-16,94,81,13,1
PO101924,SUP1009,Packaging Supplier 2 (CHI),2024-07-18,2024-09-27,2024-09-27,71,71,0,0
PO101855,SUP1009,Packaging Supplier 2 (CHI),2024-07-19,2024-07-31,2024-08-21,33,12,21,1
PO102497,SUP1009,Packaging Supplier 2 (CHI),2024-07-21,2024-08-18,2024-08-14,24,28,-4,0
PO100625,SUP1009,Packaging Supplier 2 (CHI),2024-07-22,2024-08-24,2024-09-17,57,33,24,1
PO101619,SUP1009,Packaging Supplier 2 (CHI),2024-08-07,2024-08-19,2024-09-04,28,12,16,1
PO102299,SUP1009,Packaging Supplier 2 (CHI),2024-08-23,2024-09-06,2024-09-06,14,14,0,0
PO100381,SUP1009,Packaging Supplier 2 (CHI),2024-09-17,2024-12-05,2024-12-08,82,79,3,1
PO101710,SUP1009,Packaging Supplier 2 (CHI),2024-09-29,2024-10-13,2024-10-13,14,14,0,0
PO100755,SUP1009,Packaging Supplier 2 (CHI),2024-10-30,2025-01-03,2025-01-03,65,65,0,0
PO101391,SUP1009,Packaging Supplier 2 (CHI),2024-11-05,2024-12-03,2024-12-05,30,28,2,1
PO101102,SUP1009,Packaging Supplier 2 (CHI),2024-11-07,2025-01-27,2025-01-27,81,81,0,0
PO101872,SUP1009,Packaging Supplier 2 (CHI),2024-11-07,2024-11-23,2024-12-05,28,16,12,1
PO100982,SUP1009,Packaging Supplier 2 (CHI),2024-11-26,2025-02-12,2025-03-07,101,78,23,1
PO100974,SUP1009,Packaging Supplier 2 (CHI),2024-12-01,2025-01-27,2025-02-03,64,57,7,1
PO101267,SUP1009,Packaging Supplier 2 (CHI),2024-12-02,2025-02-19,2025-02-25,85,79,6,1
PO101465,SUP1009,Packaging Supplier 2 (CHI),2024-12-05,2025-02-24,2025-03-01,86,81,5,1
PO100885,SUP1009,Packaging Supplier 2 (CHI),2024-12-28,2025-01-12,2025-02-05,39,15,24,1
PO100303,SUP1009,Packaging Supplier 2 (CHI),2025-01-06,2025-03-28,2025-03-24,77,81,-4,0
PO101330,SUP1009,Packaging Supplier 2 (CHI),2025-01-12,2025-03-31,2025-04-12,90,78,12,1
PO101230,SUP1009,Packaging Supplier 2 (CHI),2025-01-14,2025-04-05,2025-03-31,76,81,-5,0
PO100626,SUP1009,Packaging Supplier 2 (CHI),2025-02-02,2025-04-15,2025-04-15,72,72,0,0
PO102068,SUP1009,Packaging Supplier 2 (CHI),2025-02-05,2025-04-27,2025-05-02,86,81,5,1
PO102015,SUP1009,Packaging Supplier 2 (CHI),2025-02-18,2025-05-01,2025-05-07,78,72,6,1
PO101194,SUP1009,Packaging Supplier 2 (CHI),2025-03-01,2025-05-21,2025-06-03,94,81,13,1
PO102457,SUP1009,Packaging Supplier 2 (CHI),2025-03-05,2025-04-07,2025-05-01,57,33,24,1
PO100525,SUP1009,Packaging Supplier 2 (CHI),2025-03-13,2025-04-26,2025-04-26,44,44,0,0
PO102305,SUP1009,Packaging Supplier 2 (CHI),2025-04-09,2025-06-20,2025-06-15,67,72,-5,0
PO102412,SUP1009,Packaging Supplier 2 (CHI),2025-04-11,2025-05-14,2025-05-09,28,33,-5,0
PO100379,SUP1009,Packaging Supplier 2 (CHI),2025-04-28,2025-07-18,2025-07-18,81,81,0,0
PO100729,SUP1009,Packaging Supplier 2 (CHI),2025-05-13,2025-07-30,2025-07-30,78,78,0,0
PO100076,SUP1009,Packaging Supplier 2 (CHI),2025-05-25,2025-08-11,2025-08-28,95,78,17,1
PO100434,SUP1009,Packaging Supplier 2 (CHI),2025-05-27,2025-08-14,2025-09-13,109,79,30,1
PO100788,SUP1009,Packaging Supplier 2 (CHI),2025-05-29,2025-08-16,2025-09-06,100,79,21,1
PO100347,SUP1009,Packaging Supplier 2 (CHI),2025-06-07,2025-06-21,2025-06-21,14,14,0,0
PO101669,SUP1009,Packaging Supplier 2 (CHI),2025-06-10,2025-06-22,2025-06-22,12,12,0,0
PO101244,SUP1009,Packaging Supplier 2 (CHI),2025-06-23,2025-09-10,2025-09-30,99,79,20,1
PO100955,SUP1009,Packaging Supplier 2 (CHI),2025-07-12,2025-07-24,2025-08-19,38,12,26,1
PO100641,SUP1009,Packaging Supplier 2 (CHI),2025-07-17,2025-09-27,2025-09-27,72,72,0,0
PO102258,SUP1009,Packaging Supplier 2 (CHI),2025-07-17,2025-09-11,2025-09-09,54,56,-2,0
PO101845,SUP1009,Packaging Supplier 2 (CHI),2025-08-25,2025-10-09,2025-10-26,62,45,17,1
PO100604,SUP1009,Packaging Supplier 2 (CHI),2025-08-31,2025-09-16,2025-09-18,18,16,2,1
PO101892,SUP1009,Packaging Supplier 2 (CHI),2025-09-05,2025-11-25,2025-12-09,95,81,14,1
PO101474,SUP1009,Packaging Supplier 2 (CHI),2025-09-22,2025-10-07,2025-11-05,44,15,29,1
PO101701,SUP1009,Packaging Supplier 2 (CHI),2025-11-02,2025-12-09,2025-12-08,36,37,-1,0
PO100358,SUP1009,Packaging Supplier 2 (CHI),2025-11-09,2025-12-16,2025-12-16,37,37,0,0
PO102077,SUP1009,Packaging Supplier 2 (CHI),2025-11-23,2026-02-10,2026-02-19,88,79,9,1
PO102448,SUP1009,Packaging Supplier 2 (CHI),2025-12-01,2026-02-11,2026-02-24,85,72,13,1
PO100200,SUP1009,Packaging Supplier 2 (CHI),2026-01-12,2026-02-25,2026-02-20,39,44,-5,0
PO100137,SUP1010,Packaging Supplier 3 (NIG),2024-03-29,2024-05-13,2024-06-05,68,45,23,1
PO101593,SUP1010,Packaging Supplier 3 (NIG),2024-03-29,2024-06-08,2024-06-25,88,71,17,1
PO100535,SUP1010,Packaging Supplier 3 (NIG),2024-04-09,2024-05-23,2024-05-27,48,44,4,1
PO102380,SUP1010,Packaging Supplier 3 (NIG),2024-04-20,2024-06-30,2024-06-29,70,71,-1,0
PO100929,SUP1010,Packaging Supplier 3 (NIG),2024-04-30,2024-05-28,2024-05-28,28,28,0,0
PO101481,SUP1010,Packaging Supplier 3 (NIG),2024-05-04,2024-06-18,2024-06-18,45,45,0,0
PO102407,SUP1010,Packaging Supplier 3 (NIG),2024-05-07,2024-06-21,2024-06-21,45,45,0,0
PO101303,SUP1010,Packaging Supplier 3 (NIG),2024-05-09,2024-06-15,2024-06-15,37,37,0,0
PO101858,SUP1010,Packaging Supplier 3 (NIG),2024-05-10,2024-05-24,2024-06-03,24,14,10,1
PO102374,SUP1010,Packaging Supplier 3 (NIG),2024-05-17,2024-06-19,2024-06-19,33,33,0,0
PO100841,SUP1010,Packaging Supplier 3 (NIG),2024-05-21,2024-06-18,2024-07-05,45,28,17,1
PO100329,SUP1010,Packaging Supplier 3 (NIG),2024-05-26,2024-07-30,2024-08-25,91,65,26,1
PO100148,SUP1010,Packaging Supplier 3 (NIG),2024-05-30,2024-08-16,2024-08-16,78,78,0,0
PO101954,SUP1010,Packaging Supplier 3 (NIG),2024-05-31,2024-07-27,2024-08-02,63,57,6,1
PO100034,SUP1010,Packaging Supplier 3 (NIG),2024-06-06,2024-06-21,2024-06-21,15,15,0,0
PO101288,SUP1010,Packaging Supplier 3 (NIG),2024-06-10,2024-08-30,2024-09-01,83,81,2,1
PO101647,SUP1010,Packaging Supplier 3 (NIG),2024-06-13,2024-06-25,2024-07-25,42,12,30,1
PO101715,SUP1010,Packaging Supplier 3 (NIG),2024-06-14,2024-09-03,2024-09-16,94,81,13,1
PO101037,SUP1010,Packaging Supplier 3 (NIG),2024-06-20,2024-09-09,2024-09-09,81,81,0,0
PO101072,SUP1010,Packaging Supplier 3 (NIG),2024-06-26,2024-09-12,2024-10-03,99,78,21,1
PO101628,SUP1010,Packaging Supplier 3 (NIG),2024-06-30,2024-07-12,2024-07-21,21,12,9,1
PO100835,SUP1010,Packaging Supplier 3 (NIG),2024-07-07,2024-08-13,2024-08-28,52,37,15,1
PO100658,SUP1010,Packaging Supplier 3 (NIG),2024-07-14,2024-08-27,2024-08-27,44,44,0,0
PO100610,SUP1010,Packaging Supplier 3 (NIG),2024-07-26,2024-08-10,2024-09-05,41,15,26,1
PO100993,SUP1010,Packaging Supplier 3 (NIG),2024-07-28,2024-10-01,2024-10-23,87,65,22,1
PO102496,SUP1010,Packaging Supplier 3 (NIG),2024-07-31,2024-10-20,2024-10-19,80,81,-1,0
PO101559,SUP1010,Packaging Supplier 3 (NIG),2024-08-15,2024-11-01,2024-11-29,106,78,28,1
PO101360,SUP1010,Packaging Supplier 3 (NIG),2024-09-10,2024-09-24,2024-09-24,14,14,0,0
PO101321,SUP1010,Packaging Supplier 3 (NIG),2024-10-01,2024-11-15,2024-12-01,61,45,16,1
PO100569,SUP1010,Packaging Supplier 3 (NIG),2024-10-23,2024-11-07,2024-12-03,41,15,26,1
PO102366,SUP1010,Packaging Supplier 3 (NIG),2024-11-02,2025-01-13,2025-01-21,80,72,8,1
PO100252,SUP1010,Packaging Supplier 3 (NIG),2024-11-06,2024-12-13,2024-12-13,37,37,0,0
PO102080,SUP1010,Packaging Supplier 3 (NIG),2024-11-06,2025-01-26,2025-02-01,87,81,6,1
PO102145,SUP1010,Packaging Supplier 3 (NIG),2024-11-28,2025-01-23,2025-02-07,71,56,15,1
PO100176,SUP1010,Packaging Supplier 3 (NIG),2024-11-30,2024-12-15,2024-12-15,15,15,0,0
PO100539,SUP1010,Packaging Supplier 3 (NIG),2024-12-05,2025-02-22,2025-02-22,79,79,0,0
PO100991,SUP1010,Packaging Supplier 3 (NIG),2024-12-14,2024-12-30,2025-01-01,18,16,2,1
PO101523,SUP1010,Packaging Supplier 3 (NIG),2024-12-30,2025-01-11,2025-02-06,38,12,26,1
PO101006,SUP1010,Packaging Supplier 3 (NIG),2025-01-03,2025-01-15,2025-01-15,12,12,0,0
PO100083,SUP1010,Packaging Supplier 3 (NIG),2025-01-19,2025-04-01,2025-05-01,102,72,30,1
PO101598,SUP1010,Packaging Supplier 3 (NIG),2025-01-24,2025-02-05,2025-02-02,9,12,-3,0
PO100627,SUP1010,Packaging Supplier 3 (NIG),2025-02-10,2025-02-24,2025-02-24,14,14,0,0
PO102025,SUP1010,Packaging Supplier 3 (NIG),2025-02-13,2025-03-01,2025-03-07,22,16,6,1
PO101963,SUP1010,Packaging Supplier 3 (NIG),2025-02-23,2025-04-09,2025-05-09,75,45,30,1
PO101978,SUP1010,Packaging Supplier 3 (NIG),2025-02-27,2025-04-13,2025-04-13,45,45,0,0
PO101495,SUP1010,Packaging Supplier 3 (NIG),2025-03-21,2025-04-23,2025-04-23,33,33,0,0
PO102201,SUP1010,Packaging Supplier 3 (NIG),2025-03-21,2025-04-23,2025-04-23,33,33,0,0
PO101620,SUP1010,Packaging Supplier 3 (NIG),2025-04-12,2025-06-30,2025-06-29,78,79,-1,0
PO100990,SUP1010,Packaging Supplier 3 (NIG),2025-04-25,2025-07-13,2025-07-13,79,79,0,0
PO100225,SUP1010,Packaging Supplier 3 (NIG),2025-05-10,2025-06-16,2025-06-23,44,37,7,1
PO102232,SUP1010,Packaging Supplier 3 (NIG),2025-05-22,2025-06-24,2025-06-24,33,33,0,0
PO101078,SUP1010,Packaging Supplier 3 (NIG),2025-06-02,2025-06-30,2025-06-30,28,28,0,0
PO100390,SUP1010,Packaging Supplier 3 (NIG),2025-06-16,2025-06-30,2025-06-28,12,14,-2,0
PO102144,SUP1010,Packaging Supplier 3 (NIG),2025-06-22,2025-07-20,2025-07-20,28,28,0,0
PO102027,SUP1010,Packaging Supplier 3 (NIG),2025-06-29,2025-09-15,2025-09-15,78,78,0,0
PO100600,SUP1010,Packaging Supplier 3 (NIG),2025-07-12,2025-08-26,2025-08-27,46,45,1,1
PO100934,SUP1010,Packaging Supplier 3 (NIG),2025-07-31,2025-08-12,2025-08-22,22,12,10,1
PO100119,SUP1010,Packaging Supplier 3 (NIG),2025-08-03,2025-10-23,2025-11-01,90,81,9,1
PO100438,SUP1010,Packaging Supplier 3 (NIG),2025-08-06,2025-09-08,2025-09-08,33,33,0,0
PO102495,SUP1010,Packaging Supplier 3 (NIG),2025-08-21,2025-09-06,2025-09-27,37,16,21,1
PO101166,SUP1010,Packaging Supplier 3 (NIG),2025-08-28,2025-11-17,2025-11-20,84,81,3,1
PO101243,SUP1010,Packaging Supplier 3 (NIG),2025-09-06,2025-11-16,2025-12-10,95,71,24,1
PO100049,SUP1010,Packaging Supplier 3 (NIG),2025-09-09,2025-11-05,2025-12-01,83,57,26,1
PO101934,SUP1010,Packaging Supplier 3 (NIG),2025-09-15,2025-12-05,2025-12-16,92,81,11,1
PO100277,SUP1010,Packaging Supplier 3 (NIG),2025-09-27,2025-10-12,2025-10-14,17,15,2,1
PO101300,SUP1010,Packaging Supplier 3 (NIG),2025-09-27,2025-10-25,2025-11-04,38,28,10,1
PO100110,SUP1010,Packaging Supplier 3 (NIG),2025-10-13,2025-12-24,2026-01-13,92,72,20,1
PO102481,SUP1010,Packaging Supplier 3 (NIG),2025-10-28,2025-12-04,2025-12-26,59,37,22,1
PO101468,SUP1010,Packaging Supplier 3 (NIG),2025-10-30,2025-12-02,2025-12-05,36,33,3,1
PO100388,SUP1010,Packaging Supplier 3 (NIG),2025-11-03,2025-12-18,2025-12-18,45,45,0,0
PO101749,SUP1010,Packaging Supplier 3 (NIG),2025-11-05,2025-12-08,2025-12-19,44,33,11,1
PO101185,SUP1010,Packaging Supplier 3 (NIG),2025-11-11,2026-01-06,2026-01-17,67,56,11,1
PO101228,SUP1010,Packaging Supplier 3 (NIG),2025-11-13,2025-12-11,2025-12-14,31,28,3,1
PO100238,SUP1010,Packaging Supplier 3 (NIG),2025-11-14,2026-01-25,2026-02-02,80,72,8,1
